C_time,R_time,ET1,ET2,ET3,norm_E1,norm_E2,norm_E3,norm_E4,norm_E5,norm_E6,norm_E7,norm_E8,norm_E9,norm_E10,norm_E11,norm_E12,norm_E13,norm_E14,norm_E15,norm_E16,norm_E17,norm_E18,norm_E19,norm_E20,norm_E21,norm_E22,norm_E23,norm_E24,norm_E25,norm_E26,norm_E27,norm_E28,norm_E29,norm_E30,norm_E31,norm_E32,RK_t1,RK_t2,RK_t3,RK_t4,RK_t5,RK_t6,RK_t7,RK_t8,RK_t9,RK_t10,RK_t11,RK_t12,RK_t13,RK_t14,RK_t15,RK_t16,RK_t17,RK_t18,RK_t19,RK_t20,RK_t21,RK_t22,RK_t23,RK_t24,RK_t25,RK_t26,RK_t27,RK_t28,RK_t29,RK_t30,RK_t31,RK_t32
50,0.0455269,0.0735308,0.00109074,3.4544e-005,0.983871,0.0145945,0.000462212,3.90973e-005,4.63081e-006,8.83186e-006,1.16896e-005,1.5803e-005,2.06225e-005,2.5975e-005,3.18514e-005,3.80214e-005,4.42927e-005,5.03986e-005,5.60612e-005,6.099e-005,6.49073e-005,6.75661e-005,6.87706e-005,6.83925e-005,6.63847e-005,6.27898e-005,5.77424e-005,5.14662e-005,4.42637e-005,3.65006e-005,2.85858e-005,2.09471e-005,1.40057e-005,8.14978e-006,3.71062e-006,0,0.0455269,0.0455064,0.045512,0.0455107,0.0455113,0.0455115,0.0455119,0.0455123,0.0455129,0.0455135,0.0455143,0.0455151,0.045516,0.0455169,0.0455179,0.0455188,0.0455198,0.0455208,0.0455217,0.0455226,0.0455234,0.0455241,0.0455248,0.0455253,0.0455258,0.0455262,0.0455265,0.0455267,0.0455268,0.0455269,0.0455269,0.0455269
55,0.494637,0.0734725,0.00102624,2.72701e-005,0.963055,0.0134516,0.000357448,7.34148e-005,2.5687e-005,7.20256e-005,0.000118922,0.000189888,0.000282348,0.000396605,0.000531517,0.000683282,0.000846724,0.00101487,0.00117962,0.00133218,0.00146367,0.00156581,0.00163156,0.00165571,0.00163532,0.00157014,0.00146269,0.00131822,0.00114451,0.000951355,0.000750057,0.000552648,0.00037113,0.000216678,9.88857e-005,0,0.494637,0.494675,0.494665,0.494667,0.494666,0.494666,0.494665,0.494664,0.494663,0.494662,0.49466,0.494659,0.494657,0.494656,0.494654,0.494652,0.49465,0.494648,0.494647,0.494645,0.494643,0.494642,0.494641,0.49464,0.494639,0.494638,0.494638,0.494637,0.494637,0.494637,0.494637,0.494637
60,0.83304,0.0731441,0.00092746,4.54354e-005,0.92558,0.0117363,0.000574948,3.52336e-005,0.0001222,0.000169045,0.000310312,0.000500173,0.000745444,0.00105347,0.00141632,0.00182558,0.00226692,0.00272151,0.00316746,0.00358092,0.00393783,0.00421572,0.00439544,0.00446278,0.00440976,0.00423556,0.00394693,0.00355805,0.00308985,0.00256888,0.00202564,0.0014927,0.00100252,0.00058535,0.000267152,0,0.83304,0.833099,0.833094,0.833092,0.833092,0.833091,0.83309,0.833088,0.833086,0.833084,0.833082,0.833079,0.833076,0.833073,0.83307,0.833067,0.833064,0.83306,0.833057,0.833055,0.833052,0.833049,0.833047,0.833046,0.833044,0.833043,0.833042,0.833041,0.833041,0.83304,0.83304,0.83304
65,0.984654,0.0729737,0.00139545,0.000102462,0.885987,0.0169424,0.00124401,5.00093e-005,0.000103872,0.000289378,0.00047997,0.000762287,0.00114773,0.00162235,0.00218206,0.00281436,0.00349628,0.00419882,0.00488818,0.00552748,0.00607953,0.00650954,0.00678792,0.00689264,0.00681137,0.00654281,0.00609735,0.00549689,0.00477379,0.00396905,0.00312982,0.00230643,0.00154907,0.000904482,0.000412806,0,0.984654,0.984669,0.984684,0.984681,0.98468,0.98468,0.984679,0.984678,0.984677,0.984676,0.984675,0.984674,0.984672,0.984671,0.984669,0.984667,0.984666,0.984664,0.984663,0.984661,0.98466,0.984659,0.984657,0.984657,0.984656,0.984655,0.984655,0.984654,0.984654,0.984654,0.984654,0.984654
70,0.917027,0.0729046,0.00222572,0.00011111,0.865394,0.0264198,0.0013189,0.000342798,0.000162559,0.000265724,0.000520197,0.000856412,0.00127825,0.00180243,0.0024257,0.00312957,0.00388823,0.00466983,0.00543682,0.00614819,0.0067625,0.00724107,0.00755094,0.00766762,0.00757736,0.00727872,0.00678326,0.00611532,0.00531092,0.00441567,0.00348204,0.002566,0.00172341,0.00100628,0.000459269,0,0.917027,0.916967,0.916978,0.916984,0.916985,0.916985,0.916986,0.916987,0.916989,0.916991,0.916993,0.916995,0.916997,0.917,0.917002,0.917005,0.917008,0.91701,0.917013,0.917015,0.917017,0.917019,0.917021,0.917023,0.917024,0.917025,0.917026,0.917026,0.917027,0.917027,0.917027,0.917027
75,0.647568,0.0724115,0.00258686,0.000171499,0.883646,0.0315678,0.00209283,0.000258138,0.000218554,0.00028662,0.000424654,0.00065711,0.000983297,0.00139352,0.00187689,0.00242027,0.00300545,0.0036083,0.0041998,0.0047483,0.00522184,0.00559058,0.00582911,0.00591858,0.00584841,0.0056175,0.0052348,0.00471909,0.00409817,0.00340722,0.00268673,0.00197987,0.00132972,0.000776397,0.000354346,0,0.647568,0.647466,0.647447,0.647448,0.647452,0.647455,0.647458,0.647461,0.647465,0.64747,0.647475,0.647481,0.647488,0.647494,0.647501,0.647509,0.647516,0.647523,0.64753,0.647536,0.647542,0.647547,0.647552,0.647556,0.64756,0.647562,0.647564,0.647566,0.647567,0.647568,0.647568,0.647568
80,0.236768,0.0718865,0.00250945,0.000190448,0.941116,0.0328529,0.00249329,0.000203643,2.55175e-005,6.29655e-005,0.000127974,0.000206413,0.000302081,0.000417737,0.000553094,0.000705095,0.00086845,0.00103616,0.00120003,0.00135128,0.00148109,0.00158128,0.00164491,0.00166688,0.00164438,0.00157722,0.00146801,0.00132205,0.00114711,0.000953021,0.000751045,0.00055318,0.000371383,0.00021678,9.89173e-005,0,0.236768,0.2367,0.236674,0.236665,0.236663,0.236664,0.236666,0.23667,0.236673,0.236678,0.236683,0.236688,0.236694,0.236701,0.236707,0.236714,0.23672,0.236727,0.236733,0.236739,0.236745,0.236749,0.236754,0.236758,0.236761,0.236763,0.236765,0.236767,0.236768,0.236768,0.236768,0.236768
85,-0.225622,0.0718068,0.00247814,0.000184895,0.953333,0.0329006,0.00245473,0.000188486,4.10153e-006,2.33694e-005,6.39275e-005,0.000109458,0.000160903,0.000219614,0.00028563,0.00035774,0.000433711,0.000510517,0.000584574,0.000652014,0.000708965,0.000751848,0.000777663,0.000784249,0.000770483,0.000736428,0.000683384,0.000613867,0.000531489,0.00044076,0.000346823,0.000255136,0.00017112,9.98097e-005,4.55196e-005,0,-0.225622,-0.225602,-0.225595,-0.225592,-0.225591,-0.225591,-0.225591,-0.225592,-0.225593,-0.225594,-0.225596,-0.225598,-0.2256,-0.225601,-0.225603,-0.225605,-0.225608,-0.22561,-0.225611,-0.225613,-0.225615,-0.225617,-0.225618,-0.225619,-0.22562,-0.225621,-0.225621,-0.225622,-0.225622,-0.225622,-0.225622,-0.225622
90,-0.63747,0.0715198,0.00227737,0.000163073,0.886722,0.0282355,0.00202182,0.00025426,0.000188198,0.000296851,0.00045986,0.000690976,0.00100562,0.00140649,0.0018861,0.00242968,0.00301666,0.00362146,0.00421464,0.00476447,0.00523899,0.00560837,0.00584714,0.00593645,0.00586569,0.0056338,0.00524975,0.00473239,0.00410958,0.00341662,0.00269407,0.00198524,0.00133331,0.000778486,0.000355296,0,-0.637471,-0.637381,-0.637355,-0.63735,-0.637351,-0.637354,-0.637358,-0.637361,-0.637366,-0.637371,-0.637376,-0.637382,-0.637389,-0.637396,-0.637403,-0.63741,-0.637417,-0.637425,-0.637431,-0.637438,-0.637444,-0.63745,-0.637454,-0.637459,-0.637462,-0.637465,-0.637467,-0.637469,-0.63747,-0.63747,-0.63747,-0.63747
95,-0.905623,0.0710287,0.0024513,0.000314983,0.856546,0.0295606,0.00379843,0.000848444,0.000356237,0.000278394,0.000472459,0.000845045,0.0013131,0.00185894,0.00249095,0.00320601,0.00398163,0.00478289,0.00556926,0.00629823,0.00692754,0.00741775,0.00773515,0.00785467,0.00776221,0.00745629,0.00694874,0.00626451,0.00544049,0.0045234,0.00356698,0.0026286,0.00176546,0.00103083,0.000470473,0,-0.905623,-0.905549,-0.905558,-0.90557,-0.905574,-0.905574,-0.905574,-0.905576,-0.905578,-0.90558,-0.905582,-0.905585,-0.905588,-0.905591,-0.905594,-0.905597,-0.9056,-0.905603,-0.905606,-0.905609,-0.905612,-0.905614,-0.905616,-0.905618,-0.90562,-0.905621,-0.905622,-0.905623,-0.905623,-0.905623,-0.905623,-0.905623
